Timestamp,What grade level are you currently in?,What is your preffred method of studying?,Bonous question: How was your day?
5/20/2025 8:46:41,Junior,Other,1
5/20/2025 8:47:36,Junior,I dont,3
5/20/2025 8:47:54,Junior,Group study,4
5/20/2025 12:59:38,Junior,Group study,4
5/20/2025 12:59:54,Junior,Group study,4
5/20/2025 13:00:50,Junior,Videos,5
5/20/2025 13:01:37,Junior,Flashcards,5
5/20/2025 13:02:09,Junior,Notes,4
5/20/2025 13:02:31,Sophomore,Flashcards,2
5/20/2025 13:19:25,Senior,Flashcards,5
5/20/2025 13:29:56,Senior,Notes,5
5/20/2025 13:30:23,Senior,Notes,1
5/20/2025 13:30:29,Junior,Videos,5
5/20/2025 13:30:31,Senior,Notes,3
5/20/2025 13:31:13,Senior,Notes,5
5/20/2025 13:31:37,Senior,Notes,5
5/20/2025 13:31:42,Senior,Notes,4
5/20/2025 13:31:47,Senior,Notes,4
5/20/2025 13:32:36,Senior,Flashcards,3
5/20/2025 13:32:38,Senior,Group study,5
5/20/2025 13:33:13,Senior,Notes,4
5/20/2025 13:33:32,Senior,Notes,5
5/20/2025 13:33:46,Senior,Notes,5
5/20/2025 13:33:52,Senior,Notes,5
5/20/2025 13:34:17,Senior,Group study,2
5/20/2025 13:34:35,Senior,Notes,3
5/20/2025 13:38:08,Senior,Videos,5
5/20/2025 13:38:16,Senior,Notes,3
5/20/2025 13:38:34,Senior,Group study,4
5/20/2025 13:38:42,Senior,Flashcards,5
5/20/2025 13:38:51,Senior,Flashcards,5
5/20/2025 13:40:22,Junior,Videos,5
5/20/2025 13:40:30,Junior,Videos,3
5/20/2025 13:40:48,Junior,Videos,3
5/20/2025 13:40:58,Junior,Flashcards,4
5/20/2025 13:41:02,Junior,Notes,5
5/20/2025 13:41:22,Junior,Flashcards,4
5/20/2025 13:44:25,Junior,Notes,4
5/20/2025 13:44:38,Junior,Notes,3
5/20/2025 13:45:17,Junior,Videos,3
5/20/2025 13:48:31,Sophomore,Notes,2
5/20/2025 13:48:33,Sophomore,Videos,3
5/20/2025 13:48:38,Sophomore,Notes,4
5/20/2025 13:48:46,Sophomore,Group study,3
5/20/2025 13:48:56,Sophomore,Group study,4
5/20/2025 13:49:33,Sophomore,Flashcards,3
5/20/2025 13:49:57,Sophomore,Notes,4
5/20/2025 13:50:23,Sophomore,Group study,3
5/20/2025 13:50:36,Sophomore,Videos,4
5/20/2025 13:50:41,Sophomore,Notes,3
5/20/2025 13:50:44,Sophomore,Flashcards,3
5/20/2025 13:51:01,Sophomore,Notes,4
5/20/2025 13:51:02,Sophomore,Group study,5
5/20/2025 13:51:14,Sophomore,Videos,4
5/20/2025 13:52:49,Sophomore,Videos,2
5/20/2025 13:53:22,Sophomore,Group study,4
5/20/2025 14:20:46,Freshman,Flashcards,2
5/20/2025 14:20:49,Freshman,Group study,3
5/20/2025 14:20:49,Freshman,Group study,2
5/20/2025 14:20:51,Freshman,Videos,4
5/20/2025 14:21:18,Freshman,Notes,5
5/20/2025 14:21:37,Freshman,Group study,4
5/20/2025 14:22:21,Freshman,Videos,5
5/20/2025 14:22:25,Freshman,Videos,3
5/20/2025 14:22:28,Freshman,Notes,3
5/20/2025 14:22:29,Freshman,Notes,3
5/20/2025 14:22:36,Freshman,Flashcards,4
5/20/2025 14:22:39,Freshman,Group study,5
5/20/2025 14:23:36,Freshman,Flashcards,1
5/20/2025 18:15:08,Freshman,Notes,4
